AOI,Count
0,113035421
100,262135
200,257621
300,253250
400,248889
500,243721
600,234486
700,225686
800,216905
900,208816
1000,200133
1100,191978
1200,183887
1300,175899
1400,167475
1500,159173
1600,150947
1700,146230
1800,141203
1900,136052
2000,130431
2100,124904
2200,119398
2300,114392
2400,109384
2500,104775
2600,100318
2700,96446
2800,92349
2900,88448
3000,84579
3100,81036
3200,78237
3300,75175
3400,72117
3500,69201
3600,66257
3700,63497
3800,60687
3900,58346
4000,56152
4100,53836
4200,51538
4300,49577
4400,47632
4500,45687
4600,43701
4700,41943
4800,40208
4900,38541
5000,37179
5100,35632
5200,33996
5300,32415
5400,31270
5500,30007
5600,28816
5700,27505
5800,26360
5900,25256
6000,24257
6100,23150
6200,22160
6300,21331
6400,20425
6500,19579
6600,18819
6700,18035
6800,17337
6900,16569
7000,15902
7100,15294
7200,14629
7300,14015
7400,13524
7500,12933
7600,12289
7700,11687
7800,11105
7900,10652
8000,10221
8100,9868
8200,9447
8300,9016
8400,8678
8500,8354
8600,8018
8700,7722
8800,7433
8900,7079
9000,6786
9100,6583
9200,6230
9300,6027
9400,5724
9500,5483
9600,5283
9700,5012
9800,4779
9900,4646
10000,4480
10100,4318
10200,4158
10300,4000
10400,3840
10500,3721
10600,3556
10700,3433
10800,3273
10900,3148
11000,3046
11100,2933
11200,2828
11300,2767
11400,2658
11500,2560
11600,2464
11700,2340
11800,2284
11900,2178
12000,2128
12100,2015
12200,1923
12300,1872
12400,1820
12500,1756
12600,1653
12700,1609
12800,1569
12900,1523
13000,1440
13100,1358
13200,1334
13300,1307
13400,1258
13500,1199
13600,1155
13700,1115
13800,1037
13900,1029
14000,1008
14100,970
14200,930
14300,895
14400,886
14500,799
14600,770
14700,748
14800,717
14900,669
15000,632
15100,621
15200,586
15300,575
15400,571
15500,520
15600,481
15700,455
15800,447
15900,433
16000,415
16100,410
16200,394
16300,386
16400,359
16500,314
16600,288
16700,270
16800,265
16900,253
17000,243
17100,229
17200,213
17300,204
17400,202
17500,195
17600,177
17700,160
17800,152
17900,146
18000,134
18100,128
18200,112
18300,112
18400,112
18500,109
18600,100
18700,88
18800,77
18900,77
19000,77
19100,72
19200,72
19300,72
19400,72
19500,72
19600,72
19700,72
19800,65
19900,65
20000,65
20100,65
20200,65
20300,65
20400,65
20500,56
20600,56
20700,56
20800,56
20900,56
21000,48
21100,47
21200,47
21300,47
21400,47
21500,43
21600,43
21700,38
21800,38
21900,38
22000,33
22100,30
22200,28
22300,25
22400,25
22500,25
22600,25
22700,25
22800,25
22900,16
23000,16
23100,16
23200,16
23300,16
23400,16
23500,16
23600,16
23700,16
23800,16
23900,16
24000,16
24100,16
24200,16
24300,16
24400,16
24500,16
24600,16
24700,16
24800,16
24900,16
25000,16
25100,16
25200,16
25300,9
25400,9
25500,9
25600,9
25700,9
25800,9
25900,9
26000,9
26100,9
26200,9
26300,9
26400,9
26500,9
26600,9
26700,9
26800,9
26900,9
27000,9
27100,9
27200,9
27300,9
27400,9
27500,9
27600,9
27700,9
27800,9
27900,9
28000,9
28100,3
28200,3
28300,3
28400,3
28500,3
28600,3
28700,3
28800,3
28900,3
29000,3
29100,3
