AOI,Count
0,185829814
100,529143
200,520981
300,512230
400,503051
500,492977
600,474733
700,456813
800,439908
900,423516
1000,406842
1100,389942
1200,373399
1300,356248
1400,339735
1500,323908
1600,307999
1700,298327
1800,288253
1900,277898
2000,267349
2100,255647
2200,244830
2300,234850
2400,225409
2500,216084
2600,206904
2700,198137
2800,189504
2900,181418
3000,173797
3100,166957
3200,160576
3300,153691
3400,147266
3500,141650
3600,135626
3700,130271
3800,124710
3900,119605
4000,114998
4100,110224
4200,105773
4300,101420
4400,97102
4500,92857
4600,89236
4700,85668
4800,82407
4900,79007
5000,75981
5100,72582
5200,69504
5300,66899
5400,64195
5500,61537
5600,58813
5700,56308
5800,54187
5900,51972
6000,49884
6100,47600
6200,45623
6300,43738
6400,41795
6500,39915
6600,38226
6700,36490
6800,35074
6900,33342
7000,31861
7100,30375
7200,29253
7300,28203
7400,26928
7500,25863
7600,24795
7700,23954
7800,22911
7900,21909
8000,21125
8100,20211
8200,19399
8300,18764
8400,17936
8500,17318
8600,16571
8700,15946
8800,15269
8900,14577
9000,13925
9100,13384
9200,12784
9300,12190
9400,11666
9500,11188
9600,10708
9700,10304
9800,9854
9900,9429
10000,9010
10100,8593
10200,8281
10300,7972
10400,7620
10500,7305
10600,7029
10700,6755
10800,6526
10900,6247
11000,5979
11100,5743
11200,5597
11300,5328
11400,5125
11500,4889
11600,4732
11700,4484
11800,4302
11900,4111
12000,3970
12100,3694
12200,3535
12300,3431
12400,3252
12500,3065
12600,2916
12700,2767
12800,2696
12900,2557
13000,2473
13100,2413
13200,2294
13300,2173
13400,2116
13500,2049
13600,1958
13700,1906
13800,1782
13900,1692
14000,1647
14100,1591
14200,1545
14300,1483
14400,1437
14500,1401
14600,1332
14700,1278
14800,1219
14900,1146
15000,1129
15100,1081
15200,1030
15300,989
15400,935
15500,914
15600,881
15700,857
15800,823
15900,777
16000,753
16100,712
16200,693
16300,650
16400,619
16500,570
16600,552
16700,536
16800,521
16900,506
17000,491
17100,466
17200,447
17300,429
17400,414
17500,398
17600,379
17700,359
17800,348
17900,339
18000,325
18100,315
18200,299
18300,293
18400,273
18500,273
18600,267
18700,254
18800,238
18900,231
19000,228
19100,198
19200,185
19300,173
19400,173
19500,173
19600,165
19700,153
19800,144
19900,135
20000,126
20100,121
20200,101
20300,94
20400,87
20500,86
20600,76
20700,75
20800,75
20900,75
21000,70
21100,67
21200,64
21300,61
21400,61
21500,61
21600,61
21700,61
21800,54
21900,45
22000,45
22100,43
22200,43
22300,35
22400,35
22500,35
22600,30
22700,20
22800,18
22900,18
23000,18
23100,18
23200,18
23300,18
23400,18
23500,18
23600,18
23700,18
23800,18
23900,18
24000,18
24100,16
24200,13
24300,13
24400,13
24500,13
24600,13
24700,11
24800,11
24900,11
25000,11
25100,4
25200,4
25300,4
25400,4
25500,4
25600,4
25700,4
25800,4
25900,4
26000,4
26100,4
26200,4
26300,4
26400,4
26500,4
26600,4
26700,4
26800,4
26900,4
27000,4
27100,4
27200,4
27300,3
27400,3
27500,3
27600,3
27700,3
27800,3
27900,3
28000,3
28100,3
28200,3
28300,3
28400,3
28500,3
28600,3
28700,3
28800,3
28900,3
29000,3
29100,3
29200,3
29300,3
29400,3
29500,3
29600,3
29700,3
29800,3
29900,3
30000,3
30100,3
30200,3
30300,3
30400,3
30500,3
30600,3
30700,3
30800,3
30900,3
31000,3
31100,3
31200,3
31300,3
31400,3
31500,3
31600,3
31700,3
31800,3
31900,3
32000,3
32100,3
32200,3
32300,3
32400,3
32500,3
32600,3
32700,3
32800,3
32900,3
33000,3
33100,3
33200,3
33300,3
33400,3
33500,3
33600,3
33700,3
33800,3
33900,3
34000,3
34100,3
34200,3
34300,3
34400,3
34500,3
34600,3
34700,3
34800,3
34900,3
35000,3
35100,3
35200,3
35300,3
35400,3
35500,3
35600,3
